AgeGroup,Gender,ActionCount,ActionSequence,GradedScore,ResponseTime,LiteracyScore,NumeracyScore,Country
20-24,Female,3,0.0059037468693351886,7,27387,194.73796,159.51032,UK
40-44,Female,24,0.23697676765681935,0,86051,291.86415,276.06338,US
35-39,Female,29,0.4993622164796921,1,170038,286.4063,303.92097,US
20-24,Female,23,0.5833517424481406,1,223499,291.09351,234.50202,US
35-39,Female,20,0.7069250272820089,1,140540,300.25829,291.33392,US
45-49,Male,40,0.7903635207354429,1,475526,259.29597,297.19248,UK
20-24,Female,69,0.9998227035662406,1,441379,351.17156,296.81391,UK
50-54,Male,17,0.3483688473092059,0,49244,153.59779,227.31599,US
30-34,Female,19,0.6495790504883547,1,200259,293.57424,279.12411,US
50-54,Female,25,0.3066408202814182,1,194095,366.37607,316.90307,US
40-44,Female,31,0.8501593675192106,1,217187,363.24761,280.42283,US
50-54,Female,17,0.29430723822963545,1,217434,315.58523,312.42678,UK
25-29,Female,20,0.3380517609243113,0,137033,294.28006,288.78554,US
25-29,Female,19,0.4675023289465532,0,241636,303.58021,262.75721,US
30-34,Female,16,0.7350202232752236,1,159851,310.18976,317.42369,UK
30-34,Male,29,0.6542252595636027,1,217068,296.813,278.35313,UK
30-34,Female,29,0.7554895411140101,1,213563,256.42059,275.83324,US
40-44,Female,16,0.3303278070748835,7,165111,281.42524,273.97257,UK
45-49,Female,17,0.5186814933321368,0,116030,270.51692,200.92418,US
55-59,Female,25,0.6282272220532958,1,415284,243.85028,283.67594,UK
45-49,Female,17,0.4706921527096321,7,326742,318.99434,297.20688,UK
50-54,Female,16,0.5342028366673478,7,109417,274.65569,233.91915,UK
35-39,Female,7,0.29518197752092623,7,26639,194.20651,135.85618,UK
20-24,Female,17,0.3211511954960528,1,196353,322.60769,304.51343,UK
30-34,Female,19,0.3762779462409121,7,168779,306.53808,236.87743,UK
55-59,Female,22,0.5624166419301775,1,284310,284.70148,324.07231,US
40-44,Male,23,0.6565421099498573,1,148940,322.13339,294.95164,UK
55-59,Female,28,0.8694357424363569,1,217352,351.5659,317.37423,UK
35-39,Female,21,0.6242216963943226,0,129290,290.05505,290.52679,US
20-24,Female,35,0.4353098382486356,0,129420,364.53478,269.66315,US
45-49,Female,45,0.7445196772829683,1,629338,300.918,225.51601,UK
45-49,Male,36,0.8749566751003611,0,196180,329.54774,269.22572,US
30-34,Male,26,0.32242995291569804,1,158965,262.55488,300.06418,US
20-24,Female,18,0.5660808927241134,7,140832,252.34292,242.63313,UK
16-19,Female,37,0.8795949233045814,0,141920,288.3957,309.98759,US
30-34,Male,18,0.39540144531808985,0,211447,331.35098,274.25536,US
16-19,Female,29,0.46720299654446007,1,136465,250.09041,246.90424,US
50-54,Male,5,0.12081891548698148,7,25258,167.29382,172.61555,UK
50-54,Female,19,0.4438681441407446,0,282157,251.98054,228.34196,US
25-29,Male,33,0.8883902254758077,1,264090,357.36442,316.1399,US
20-24,Female,23,0.3304646908972897,7,169631,305.28175,300.68165,UK
45-49,Female,27,0.41138201197390506,1,154064,291.99922,262.53253,US
35-39,Female,12,0.5972729510538622,1,180280,344.51244,318.54384,US
30-34,Female,21,0.4175540761208747,1,111494,257.84116,288.13655,US
40-44,Female,6,0.1459030454425477,7,114207,244.42716,257.04033,UK
60-65,Female,25,0.2926317489499636,1,253849,261.69211,236.12736,US
40-44,Male,20,0.5339100084186843,7,236278,312.36792,296.08977,UK
35-39,Female,36,0.7970483275918397,1,184294,340.23257,306.23729,UK
55-59,Female,5,0.06435544583909711,1,40015,200.94887,193.0618,US
30-34,Female,20,0.12929355238233192,1,178302,294.64801,307.66416,US
20-24,Female,30,0.763196215008325,1,192572,301.54188,297.76204,UK
55-59,Male,7,0.013949512767027536,0,54275,230.92984,224.86007,US
60-65,Female,17,0.4793545099700131,7,138365,225.13373,228.57549,UK
60-65,Female,26,0.829121441975807,7,227437,230.30803,298.80624,UK
45-49,Male,17,0.3775391003136645,7,157706,234.01061,196.35482,US
20-24,Female,17,0.39357931774671867,0,154883,331.28051,283.65392,US
25-29,Male,26,0.7406958630473832,1,262960,279.09985,234.57419,US
35-39,Female,18,0.3408673839254132,0,151894,318.18086,275.27198,US
35-39,Female,19,0.3273248838625087,7,157407,285.62848,305.42692,UK
20-24,Female,21,0.30781944570972347,1,150073,284.82244,259.71046,US
20-24,Female,15,0.5628675104312175,7,332131,297.80199,255.368,UK
40-44,Female,34,0.6065262902344817,1,175411,300.49869,264.01945,US
30-34,Female,28,0.5550080679210744,1,286368,308.22083,278.86155,US
60-65,Male,33,0.7238307718456423,0,250014,249.28428,228.87821,US
20-24,Female,26,0.6922846272788463,7,219600,234.05505,284.37173,UK
50-54,Male,23,0.4379339802595506,0,95750,199.68348,235.71703,US
20-24,Female,38,0.8628543038077108,0,156363,206.80738,221.4448,US
16-19,Female,30,0.3001423222894819,0,167380,301.91342,165.38319,US
45-49,Female,20,0.4434249601132013,7,178324,239.48583,244.48019,UK
45-49,Female,3,0.10296836879226652,7,28812,253.87592,242.29368,UK
20-24,Male,26,0.7259680113773809,0,145183,318.91486,301.9593,US
40-44,Male,19,0.627696935505694,7,179662,248.87907,237.09364,UK
20-24,Female,21,0.22487332836431667,1,170143,276.10745,265.09572,US
16-19,Female,22,0.5643345123842365,7,156079,310.55872,293.19554,UK
20-24,Female,28,0.6588775018286007,0,215917,247.52106,225.52638,UK
45-49,Female,4,0.0004843649437064275,0,16669,216.26674,209.82996,US
35-39,Male,17,0.10911840531290823,7,24754,258.92459,274.1306,UK
40-44,Male,38,0.5546375332247337,7,220434,228.86305,243.40938,UK
35-39,Male,32,0.9864979080836433,1,297471,329.75931,301.37456,UK
45-49,Female,6,0.08695146657614802,7,7921,258.12867,227.3609,UK
50-54,Female,4,0.0004843649437064275,7,42734,169.75054,195.7765,UK
16-19,Male,36,0.818635227992484,1,795655,305.78389,273.82886,UK
50-54,Male,37,0.7817300563625528,0,261313,205.22557,144.99939,UK
30-34,Female,14,0.7449724695916372,7,186891,306.96146,295.39474,UK
50-54,Female,19,0.3293390826171101,7,183297,289.23843,271.37008,UK
25-29,Female,20,0.13048041092522528,0,175078,247.32871,230.2061,US
50-54,Male,23,0.21182784913382266,1,257097,239.70639,195.31504,UK
20-24,Female,16,0.1751372431577301,7,200970,151.81849,200.95655,UK
60-65,Male,19,0.6677925057096157,7,183721,211.4455,293.94366,UK
35-39,Male,16,0.04861263653594691,0,200386,176.53452,204.85221,US
45-49,Female,28,0.1356594863720826,7,372493,229.22599,214.97883,UK
45-49,Male,34,0.9000002579963374,1,241055,313.24149,273.92397,US
35-39,Male,3,0.21629176630860958,7,8137,237.14855,263.65189,UK
60-65,Female,36,0.8355903778438398,1,220679,355.1296,347.67711,US
50-54,Male,41,0.8626764408637271,1,246957,280.36958,292.6015,UK
30-34,Female,32,0.47403055458679577,1,115989,254.79384,283.32173,UK
50-54,Female,20,0.7292482434587855,1,199640,331.66924,268.3045,UK
60-65,Female,40,0.4284667058702426,1,240599,343.23365,339.77142,UK
40-44,Male,43,0.8279004806483986,1,212923,296.07853,285.25257,UK
20-24,Male,17,0.27992346912639643,1,214363,301.34827,343.36901,US
25-29,Female,28,0.6892413838156604,0,74937,299.90383,260.66271,US
30-34,Male,47,0.9603558283504422,1,315939,368.70705,314.98161,US
60-65,Male,4,0.0004843649437064275,7,22279,237.62617,264.77218,UK
16-19,Female,17,0.3621715764442601,1,184088,324.6514,283.08092,US
60-65,Male,34,0.7744372340526292,0,193870,278.93532,276.29904,US
16-19,Male,37,0.8989768203657396,1,202355,271.04153,328.76319,US
30-34,Female,21,0.6288562334793757,1,273788,210.97352,235.33899,UK
16-19,Male,33,0.8370061414343271,1,188608,280.09864,292.85356,US
16-19,Female,22,0.43569077998260575,0,117067,282.60043,256.80807,US
45-49,Female,33,0.6806390605153323,1,315305,315.02756,301.45356,UK
55-59,Male,4,0.15586800258435324,7,60452,201.18304,251.187,UK
55-59,Female,18,0.12524360636464812,0,60558,239.55141,200.08179,US
55-59,Male,22,0.18198390522984,7,287140,284.23024,284.03883,US
45-49,Male,31,0.39413734099050296,1,132274,315.4341,288.08722,US
60-65,Male,78,0.9753098911027019,1,248910,386.51976,310.47766,US
20-24,Male,3,0.0004843649437064275,0,34442,203.51755,238.95,US
40-44,Male,19,0.5169898520721242,1,227060,318.46292,294.63898,US
55-59,Male,6,0.062399179975397207,7,3484,177.47125,193.7702,UK
16-19,Male,29,0.8861145772325749,7,177904,280.19546,283.38613,UK
25-29,Female,24,0.6524440574809234,0,196028,341.49096,262.29669,US
50-54,Female,20,0.45475314170712605,0,160255,302.37868,317.03744,US
30-34,Female,21,0.29220306974872473,7,193038,270.44645,284.18043,UK
16-19,Male,40,0.8326398292056213,1,271536,314.82473,286.57544,UK
35-39,Female,44,0.8515829423849192,7,165626,258.21216,354.52243,UK
45-49,Female,18,0.12116703279874436,0,194988,280.5677,265.69819,US
25-29,Female,25,0.5963627704565425,1,156925,264.40835,288.90028,UK
30-34,Female,28,0.831713080451373,7,378167,232.50512,243.78271,UK
20-24,Male,30,0.7870150789067824,1,256477,313.91118,256.76932,US
40-44,Male,21,0.4958018716826573,7,262505,317.04866,347.22072,UK
20-24,Male,52,0.7295777700812311,1,160172,290.71353,292.73805,UK
35-39,Male,34,0.8746535914059073,0,285905,205.40696,183.04928,US
50-54,Male,6,0.25224102450468,7,23885,189.03119,194.749,UK
40-44,Male,25,0.5730156362327276,1,321152,249.08382,281.40663,UK
40-44,Male,18,0.6775511752053973,1,207709,280.92946,278.96564,UK
55-59,Female,26,0.49792371989311157,0,200594,228.08135,300.40008,US
35-39,Male,18,0.33605413307049314,1,250020,315.22569,331.56042,US
35-39,Female,25,0.5684083631122372,1,234763,273.6786,250.57405,UK
35-39,Female,4,0.1281718135906862,7,29441,215.88198,254.17473,UK
60-65,Female,3,0.07791388811785886,7,81826,259.19109,167.6944,UK
35-39,Male,48,0.8971637148843613,1,207013,316.81512,301.44135,UK
20-24,Female,4,0.15257607389282377,0,3484,140.8962,169.37562,US
60-65,Female,63,0.8660381961635469,1,220511,267.10205,223.723,UK
60-65,Male,3,0.15918426954610457,1,322336,243.7821,202.2212,UK
40-44,Male,23,0.5132803582350883,1,120163,243.90774,226.09511,UK
60-65,Female,25,0.5993884601330318,1,177484,253.07686,352.53897,UK
25-29,Male,69,0.8252921169095073,1,263257,328.19368,280.41755,US
25-29,Female,23,0.06894624322943459,0,23157,198.59348,195.95577,UK
16-19,Male,19,0.3141011610457415,1,221593,329.10497,305.73885,UK
35-39,Female,22,0.5116199898799151,7,135398,176.27801,183.25136,UK
25-29,Female,18,0.44191942341141693,7,217967,299.27304,225.33539,UK
60-65,Female,29,0.7941131647509535,1,166748,297.95959,314.37137,UK
20-24,Male,32,0.41315352536565025,0,161302,275.84897,299.03257,US
45-49,Female,20,0.4991373248497231,7,228268,250.342,252.00486,UK
25-29,Female,25,0.59777972235486,1,142460,283.42766,260.32146,UK
60-65,Female,17,0.3059934546323086,0,226824,324.15327,346.61096,US
45-49,Male,15,0.21690181345439552,0,259807,307.9525,322.02805,US
16-19,Female,17,0.8125020498039816,1,160676,302.10587,277.23618,UK
35-39,Female,32,0.9028417818484322,0,369152,262.97251,243.07899,US
16-19,Male,32,0.731329011102777,1,151108,345.08374,322.0093,UK
55-59,Male,6,0.20836428847650287,7,199366,241.27814,172.00805,UK
60-65,Male,21,0.3230392156350298,7,107430,227.54497,245.48869,UK
60-65,Male,29,0.8553506844510308,1,212467,300.55117,301.68587,UK
20-24,Female,29,0.8600914806254264,0,317415,368.98948,299.57915,US
16-19,Female,39,0.9320005224710914,1,155672,293.70253,214.78216,UK
60-65,Female,22,0.364874119887043,1,174217,340.96563,302.04214,UK
20-24,Male,20,0.3833661377820955,7,23858,265.5929,279.38414,UK
55-59,Male,5,0.766219538132844,7,206361,225.5713,215.79015,UK
25-29,Male,42,0.8842396733076464,0,193985,221.73302,214.42781,US
55-59,Female,3,0.0004843649437064275,7,19335,121.38488,182.66648,UK
30-34,Male,4,0.12164026665917031,7,3484,176.50314,181.15486,US
40-44,Female,18,0.5892250848797609,0,80928,231.69382,198.06781,US
45-49,Female,16,0.3624577724227417,7,129580,244.40574,263.65737,UK
20-24,Female,13,0.8871429264355631,7,90835,313.61765,277.68389,UK
35-39,Female,28,0.5983012191006032,1,296384,297.52238,285.2931,UK
45-49,Female,34,0.7946992995793836,7,213894,322.78269,279.97031,UK
35-39,Male,33,0.8816927117117649,1,301200,259.40936,301.55011,UK
55-59,Female,33,0.6933943564838555,1,264271,274.42876,235.0344,UK
30-34,Female,23,0.2803447578556591,1,261729,309.28563,289.52888,US
40-44,Female,20,0.34435191277159216,7,145465,277.31778,276.6343,UK
35-39,Male,29,0.2949229964354513,0,164722,316.75597,280.05034,US
40-44,Male,19,0.2974786325164703,0,208179,257.53263,278.22479,US
30-34,Female,14,0.54957091243747,7,202161,257.41494,237.91738,UK
20-24,Male,26,0.924305233294258,7,337446,223.34929,192.62496,UK
25-29,Female,27,0.2565681938396056,0,128537,239.08764,196.76547,US
50-54,Female,22,0.47571977360223505,0,158360,232.58583,289.79601,US
40-44,Female,26,0.3182794741151054,0,193588,212.31241,247.26424,US
20-24,Female,21,0.5352773097414769,1,218529,263.31581,257.10108,UK
30-34,Male,12,0.3349952538952919,7,93414,220.24068,256.4017,UK
55-59,Male,32,0.8953900825984216,1,260453,321.79529,301.90017,US
40-44,Male,23,0.41378198644211245,0,119888,172.47334,252.13152,US
30-34,Male,31,0.9118851686703163,1,374337,273.14575,259.44594,UK
20-24,Female,3,0.15008784416725085,7,6740,190.99728,187.38787,UK
30-34,Male,14,0.22199984905027897,1,188624,344.43873,319.87959,US
20-24,Male,20,0.39459147108758325,0,203691,320.32806,270.91421,US
45-49,Male,4,0.02827918982596675,0,11740,237.10726,219.26479,US
55-59,Male,25,0.3474135482170632,0,130926,264.19229,268.58758,US
55-59,Female,20,0.5673291193750213,7,234101,212.00388,218.79743,UK
25-29,Female,73,0.8113276702093111,0,256436,329.33253,274.96036,US
20-24,Female,17,0.7495372148664264,7,293729,241.79173,197.91672,UK
16-19,Female,21,0.6923574731273185,1,130804,289.47462,292.66143,UK
25-29,Female,23,0.4387052132299091,1,64140,305.46738,254.09888,US
20-24,Female,31,0.657276147259858,1,152279,221.60521,217.95554,UK
60-65,Female,21,0.7707884082047993,7,246104,190.87798,227.73217,UK
25-29,Female,20,0.645898212794664,1,179822,311.93395,312.61218,UK
20-24,Female,9,0.08689469632461937,7,185024,249.74303,224.09355,UK
40-44,Male,4,0.08156186529964249,7,130279,252.34527,204.54426,UK
20-24,Female,38,0.9844457514058592,1,105087,221.73298,303.11601,UK
60-65,Female,21,0.3034743960475232,7,195455,304.27801,283.57197,UK
60-65,Female,3,0.09793671308317534,7,17807,218.48831,141.91467,UK
45-49,Female,27,0.8828370065528816,1,254275,347.87367,284.08109,UK
20-24,Female,34,0.442100079185894,0,176339,295.13815,317.325,UK
60-65,Female,29,0.6402010274937415,7,187645,234.24338,220.84806,UK
45-49,Female,46,0.7967188514517987,7,396285,337.99584,278.02661,UK
60-65,Male,28,0.9602863970950936,1,317572,312.14575,332.80866,UK
20-24,Female,34,0.5322169451602267,7,257761,210.57465,281.59815,UK
40-44,Female,13,0.2177341585503475,0,86287,227.7829,281.96526,US
60-65,Female,26,0.624560951464922,1,114213,299.1351,292.44757,UK
40-44,Female,7,0.14213549201628672,7,3484,233.29964,197.14265,UK
40-44,Male,3,0.0004843649437064275,7,3484,125.88527,176.63749,UK
55-59,Male,26,0.18620333146075757,7,106424,198.3124,196.46762,UK
16-19,Female,46,0.8748371273171729,1,507017,287.82293,262.98163,US
40-44,Male,23,0.6487625552860564,0,209682,168.64447,227.85037,UK
20-24,Male,20,0.2830650566690537,0,213872,298.80801,243.6985,US
35-39,Male,20,0.3741236304953978,1,153900,336.03437,321.77644,US
50-54,Female,16,0.3024273040753644,0,200300,300.01786,306.41584,US
30-34,Female,15,0.16018505322286952,7,158612,319.73389,273.4005,UK
55-59,Female,5,0.14910649286587951,7,78090,200.79855,216.00378,UK
50-54,Female,20,0.280527868065095,1,224549,333.4616,290.16815,UK
20-24,Female,29,0.6101462166953319,1,234411,333.32006,302.9057,UK
25-29,Female,20,0.5804135029633142,0,186352,290.12806,247.25779,US
60-65,Male,20,0.4476144671768776,1,207095,321.36676,338.71562,US
16-19,Female,38,0.9723878360074124,1,293949,362.60403,299.16763,US
25-29,Female,24,0.9998227035662406,7,202233,294.35666,211.80401,UK
45-49,Male,19,0.12796075379011032,7,109541,247.40625,291.2828,UK
40-44,Female,34,0.9808526228188554,0,203251,303.51421,299.26338,US
25-29,Male,41,0.8526483588859732,1,370307,327.7355,273.52313,UK
60-65,Male,17,0.16188585112185017,1,234576,273.30096,251.82392,US
55-59,Female,24,0.5792697126364234,1,144772,263.34458,243.57712,UK
60-65,Male,35,0.8891960393211761,0,143685,306.61965,321.8576,US
20-24,Male,3,0.15320033369458025,7,109002,258.14556,185.58202,UK
25-29,Female,4,0.11238008777183103,7,32153,234.21569,192.89219,UK
50-54,Female,17,0.7094273553975783,0,164564,348.47683,272.16429,US
45-49,Male,38,0.9998227035662406,1,260360,303.84618,326.93413,US
16-19,Male,20,0.3035052625452197,0,117706,230.83666,219.83476,US
30-34,Male,21,0.21605673681641657,0,146569,268.42505,238.2809,US
60-65,Female,24,0.4652715846677626,1,142434,196.60516,283.33246,UK
60-65,Female,31,0.7878121017258926,1,209649,336.4871,297.55632,US
20-24,Female,15,0.38408102561844165,7,174775,262.10693,241.74327,UK
45-49,Male,15,0.41926332780729736,7,161195,331.17153,275.4159,UK
60-65,Male,16,0.12314494877283838,0,133894,302.53371,276.79019,US
35-39,Female,21,0.8521461987409125,1,174217,261.64083,270.42957,UK
35-39,Male,48,0.9354256607159727,0,353238,282.9616,255.65163,US
25-29,Female,16,0.1335824869806107,7,151852,233.88761,223.27299,UK
35-39,Female,20,0.7156271310763667,1,196983,260.79778,241.27416,UK
20-24,Female,30,0.7398569419593903,1,405762,306.42478,230.6983,UK
30-34,Female,27,0.6376811812708811,1,314490,313.69546,276.5147,UK
16-19,Female,32,0.7298955758121102,1,226974,317.59983,272.02332,UK
45-49,Female,18,0.3000800168204442,0,181127,177.53764,278.22317,US
20-24,Female,5,0.019843795523104293,7,41720,174.149,135.71751,UK
40-44,Female,3,0.0795178599094616,7,33275,191.99712,230.89375,UK
35-39,Male,30,0.658286727438631,1,160191,253.014,283.56079,US
40-44,Male,17,0.36015441457610836,1,189451,335.49863,265.20311,US
20-24,Female,3,0.1989704309023838,7,18776,221.62025,255.93562,UK
20-24,Male,26,0.5457622077218993,0,90590,297.25502,191.11871,US
30-34,Female,34,0.9050842575534392,1,255941,337.95586,245.65584,US
35-39,Male,36,0.4290604021012838,0,194990,217.81293,183.40465,US
55-59,Male,21,0.8399505985210469,0,152770,295.14245,331.09652,UK
16-19,Female,43,0.7606077714408517,7,110655,241.6113,307.59044,UK
16-19,Female,23,0.5190041265197303,7,162601,311.41537,266.05689,UK
30-34,Female,36,0.6621908975745937,1,328930,313.20062,269.85077,US
45-49,Female,26,0.7572468452690617,7,156911,231.43622,191.74272,UK
25-29,Female,29,0.7571283279417325,1,179015,279.86356,250.49355,UK
50-54,Male,30,0.7545978605886033,1,321488,269.41192,295.42588,UK
60-65,Male,22,0.7287152043949465,1,224246,268.99622,299.01269,US
45-49,Male,19,0.4195696248123045,0,3484,214.28981,229.9208,US
25-29,Female,60,0.6074533866743218,1,175461,306.43869,255.94707,UK
35-39,Female,17,0.6491267359270563,1,174829,331.58673,246.16953,US
25-29,Female,47,0.9998227035662406,1,316642,246.7936,243.79858,UK
30-34,Male,17,0.22070767907394062,0,320595,225.45952,219.81285,US
35-39,Female,18,0.6387214883745407,7,107952,256.39109,218.3633,UK
20-24,Female,21,0.3647623249562477,0,163208,257.39011,252.44719,US
60-65,Male,24,0.7093214127042271,7,479672,314.97878,299.99168,UK
45-49,Female,35,0.5637415499516032,1,233871,341.41462,316.26188,US
50-54,Male,17,0.3977250905301457,0,199044,190.33407,177.14093,US
45-49,Female,17,0.4577320245565878,1,120051,302.71132,352.09583,UK
50-54,Female,18,0.43445125949054086,7,390606,306.45264,287.62912,UK
16-19,Male,16,0.7066486429289377,1,156215,341.45373,273.54705,UK
20-24,Female,20,0.6682868680506157,1,186364,303.2357,274.26669,US
35-39,Female,14,0.37354520460137697,7,189547,267.94352,198.26589,UK
25-29,Female,14,0.14222692738445583,1,123724,252.47551,317.99716,UK
45-49,Male,35,0.8835021811850322,1,194463,276.87497,297.2539,US
55-59,Female,27,0.6291339068392293,1,158625,307.0344,261.38558,US
16-19,Male,26,0.4144654992268151,7,192090,269.31656,278.82735,UK
60-65,Female,16,0.2503544862036582,0,102619,234.76162,180.07428,US
35-39,Female,36,0.5035824503676046,0,234939,318.919,239.09627,US
60-65,Male,21,0.3579002196552096,7,236950,280.75977,305.09431,UK
25-29,Female,39,0.9073106206903407,7,83248,202.50135,188.24064,UK
45-49,Male,33,0.7987140312698444,1,212619,241.09284,273.71393,US
25-29,Female,19,0.6880052403630812,1,197746,337.81847,309.89443,US
50-54,Female,24,0.579034828630945,7,210738,230.86597,221.44257,UK
30-34,Female,20,0.549539329483606,0,160202,342.33577,314.00481,US
25-29,Female,48,0.8199662029875854,0,321833,228.08443,236.13724,US
30-34,Male,28,0.4674588930298319,1,184197,267.88468,224.05077,UK
45-49,Female,36,0.5968005550986304,1,210489,286.54134,274.24273,US
55-59,Male,27,0.6688584009132541,1,176103,311.51168,243.17237,UK
45-49,Female,20,0.9841509866159183,1,332316,333.18574,305.94989,UK
35-39,Female,20,0.6665661883058139,7,374211,284.77299,261.15843,UK
50-54,Female,24,0.4847201580630381,1,243898,287.94077,221.19815,UK
25-29,Female,17,0.5375146762971108,1,194963,290.17556,312.1832,UK
30-34,Male,21,0.4416299522381333,1,191059,246.15411,260.95385,US
35-39,Female,15,0.10337465422268807,0,107403,294.74817,286.51235,US
55-59,Male,53,0.7488793219563261,7,161906,213.16671,219.13371,UK
55-59,Female,34,0.8738624045359831,1,223643,291.5375,275.9744,UK
50-54,Female,5,0.036441673042080014,7,18398,219.15206,183.88209,UK
35-39,Male,6,0.24723770444593401,7,3484,169.44818,181.0904,UK
55-59,Female,21,0.3231500250883951,0,82379,325.43794,308.62952,US
60-65,Male,3,0.02707256512434497,7,5064,193.05251,234.38204,UK
30-34,Male,19,0.5506252250764281,0,139149,207.92257,232.08394,US
16-19,Male,28,0.7038902695729348,1,130035,320.22903,296.74258,UK
25-29,Female,35,0.7027190774898266,1,192138,287.76502,281.62889,UK
30-34,Female,33,0.8636962121676659,1,211552,245.35964,316.78063,UK
55-59,Female,47,0.6922352215421155,1,418752,238.26283,236.43827,US
35-39,Male,22,0.3144114209574394,1,175351,342.22437,302.95867,UK
30-34,Male,32,0.6306721755404852,1,191164,275.79788,290.88282,US
16-19,Female,41,0.813014690173649,1,421223,244.42347,283.75944,UK
16-19,Male,48,0.989142917759202,0,206888,333.83705,316.41096,US
45-49,Male,56,0.38794505503838506,0,261594,231.49697,292.4878,US
40-44,Male,20,0.2535127978148963,7,124197,179.90974,214.29508,UK
45-49,Female,23,0.6908060159202469,1,229153,328.23974,305.26255,UK
30-34,Female,4,0.4279290344202046,0,18038,219.58477,195.45882,US
45-49,Female,36,0.9009638557162573,1,258980,305.89484,284.52614,US
30-34,Male,17,0.08455346962652394,7,95136,146.37082,165.11124,US
20-24,Female,18,0.5135826772399356,7,215410,231.28045,229.01324,UK
30-34,Female,30,0.6880674972128047,1,660679,311.75866,265.64855,UK
35-39,Female,19,0.7272965692075128,1,101295,301.05645,340.26079,UK
35-39,Male,21,0.33797457712131124,7,169404,240.65325,275.31971,UK
20-24,Female,17,0.43846310002099853,7,252065,278.70603,282.95285,UK
25-29,Female,22,0.47531954040745766,7,124731,242.21954,234.01966,UK
45-49,Female,34,0.9559410282005883,7,330864,326.34991,312.05802,UK
20-24,Female,28,0.7357449693800459,1,185238,278.26076,212.36192,UK
20-24,Female,20,0.39365322065118374,7,144799,207.82326,253.29591,UK
30-34,Female,25,0.808509561455268,7,243870,247.32672,277.07915,UK
20-24,Female,19,0.5808969244611198,7,187257,295.57722,318.3309,UK
30-34,Female,29,0.3956633148893418,1,262657,196.89892,222.6347,UK
20-24,Female,12,0.4698044757403334,7,201305,280.93261,276.19551,UK
16-19,Female,6,0.24687757949279993,7,90439,209.96043,194.0478,UK
35-39,Female,20,0.7277835172616052,7,192113,261.47434,232.93396,UK
50-54,Female,17,0.43292774359843766,7,182814,207.09715,260.96831,UK
16-19,Female,19,0.1686571575581416,0,207975,254.28328,215.64841,US
40-44,Female,23,0.6601064540083134,1,175833,277.45008,212.38543,UK
45-49,Male,39,0.8695365949088754,1,302560,346.46763,291.77306,US
25-29,Female,19,0.1937078498445794,7,133902,361.72482,277.06011,US
55-59,Male,3,0.0004843649437064275,1,3484,176.0198,191.67534,US
30-34,Female,25,0.5932018144778856,1,169855,271.60713,263.61496,UK
30-34,Male,27,0.5422987206774436,1,237596,305.62923,262.56019,US
50-54,Male,21,0.4699004786465425,7,160908,264.93474,275.71399,UK
60-65,Male,25,0.6612136654888674,7,192583,243.85296,307.1061,UK
35-39,Male,14,0.3326126262462623,7,206614,245.87656,263.7651,UK
20-24,Female,23,0.7953052177167872,0,194874,216.14353,190.27691,US
45-49,Female,21,0.2813437797803725,0,144871,331.91703,306.9966,US
30-34,Female,22,0.6378601925364089,0,290962,255.01047,336.01887,US
35-39,Male,5,0.11633707205953443,7,167110,217.89176,207.86738,UK
