"ID","AgeGroup","Gender","ActionCount","ActionSeq_Collapsed","GradedScore","ResponseTime","LiteracyScore","NumeracyScore"
73,"35-39","Male",28,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",185101,286.34041,294.18412
77,"16-19","Male",21,"START,TAB,TAB,COMBOBOX,COMBOBOX,TAB,TAB,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,TAB,TAB,COMBOBOX,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",146904,228.34644,247.63362
102,"35-39","Male",35,"START,TAB,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TAB,BOX_PRESS,TOOLBAR_HISTORY_BACK,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,NEXT_INQUIRY,END","7",191932,245.74591,258.59398
103,"35-39","Female",5,"START,TEXTLINK,TEXTLINK,NEXT_INQUIRY,END","7",63388,276.62532,267.23343
107,"30-34","Male",7,"START,TEXTLINK,COMBOBOX,TEXTLINK,TAB,NEXT_INQUIRY,END","7",88614,258.47337,257.53623
114,"30-34","Female",17,"START,TAB,TAB,TEXTLINK,TEXTLINK,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,TEXTBOX_USE,NEXT_INQUIRY,END","1",182695,338.65857,288.54902
118,"25-29","Male",3,"START,NEXT_INQUIRY,END","7",16923,270.33721,273.79074
119,"45-49","Male",40,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,BUTTON,BUTTON,BUTTON,TAB,TAB,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,CHECKBOX,CHECKBOX,TOOLBAR_HISTORY_NEXT,TOOLBAR_HISTORY_NEXT,BUTTON,BUTTON,NEXT_INQUIRY,END","7",375036,270.45403,207.95954
123,"30-34","Female",27,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,TAB,TAB,TAB,TAB,COMBOBOX,TAB,TAB,TAB,TAB,TAB,TAB,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",156501,261.78184,230.50289
128,"40-44","Female",24,"START,TEXTLINK,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",169451,310.52574,296.73202
131,"55-59","Female",26,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,BUTTON,TAB,TOOLBAR_HISTORY_BACK,TAB,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",361782,253.08818,258.66675
132,"25-29","Female",25,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END_CANCEL,NEXT_INQUIRY,END","1",140199,305.83961,337.09247
141,"60-65","Female",10,"START,COMBOBOX,COMBOBOX,BUTTON,BUTTON,TAB,TAB,TEXTLINK,NEXT_INQUIRY,END","7",118324,294.12862,242.99801
144,"20-24","Female",21,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,TAB,TAB,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",170464,245.52145,220.6314
150,"40-44","Female",21,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,TEXTBOX_ONFOCUS,TEXTBOX_KILLFOCUS,BUTTON,NEXT_INQUIRY,END","7",155378,240.978,260.84149
152,"30-34","Female",19,"START,TEXTLINK,TEXTLINK,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",238636,211.2137,181.37178
157,"30-34","Male",23,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",187088,301.00728,309.68078
162,"20-24","Male",26,"START,BOX_PRESS,TOOLBAR_HISTORY_BACK,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",89743,224.6235,195.06943
167,"60-65","Male",7,"START,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",94655,270.32195,254.57471
169,"30-34","Male",30,"START,COMBOBOX,COMBOBOX,BUTTON,TOOLBAR,TAB,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,BUTTON,COMBOBOX,TAB,TAB,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",176322,289.36746,282.31433
173,"45-49","Male",6,"START,TEXTLINK,TEXTLINK,CHECKBOX,NEXT_INQUIRY,END","7",95076,225.29068,220.82536
174,"40-44","Male",20,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",238031,237.88015,222.90164
176,"50-54","Male",3,"START,NEXT_INQUIRY,END","7",8004,212.07703,204.92995
181,"25-29","Female",26,"START,TAB,TAB,TEXTLINK,TEXTLINK,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",209857,276.32727,262.50718
183,"40-44","Male",35,"START,TEXTLINK,TEXTLINK,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,BUTTON,COMBOBOX,TAB,TAB,TAB,TAB,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",413400,223.82867,280.43473
197,"45-49","Female",23,"START,COMBOBOX,COMBOBOX,BUTTON,TOOLBAR_HISTORY_BACK,TAB,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TAB,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",266683,271.00067,240.92646
205,"20-24","Female",31,"START,COMBOBOX,COMBOBOX,TAB,TAB,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,TAB,TAB,TAB,TAB,COMBOBOX,BUTTON,BUTTON,BUTTON,TAB,TAB,TEXTLINK,BUTTON,CHECKBOX,CHECKBOX,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",298893,188.24265,192.81931
209,"16-19","Male",17,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",82008,172.91281,165.85114
212,"45-49","Female",24,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TOOLBAR,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,GET_HELP,TAB,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",434754,184.84567,171.02487
214,"40-44","Male",26,"START,TAB,TAB,COMBOBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,TOOLBAR_HISTORY_BACK,TAB,TAB,BUTTON,NEXT_INQUIRY,END","7",377319,213.05305,267.97819
216,"55-59","Female",20,"START,TEXTLINK,COMBOBOX,COMBOBOX,TEXTLINK,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",220487,250.63103,232.22244
219,"50-54","Female",28,"START,COMBOBOX,COMBOBOX,BUTTON,TOOLBAR_HISTORY_BACK,TAB,TOOLBAR,TOOLBAR,TAB,TOOLBAR,TOOLBAR,BUTTON,TAB,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",486028,300.16173,294.15039
221,"20-24","Female",31,"START,TAB,TAB,TEXTLINK,TEXTLINK,TOOLBAR_HISTORY_BACK,TEXTLINK,CHECKBOX,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,BUTTON,TEXTBOX_USE,COMBOBOX,TEXTBOX_USE,COMBOBOX,COMBOBOX,TEXTBOX_USE,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",267293,260.57938,265.85961
226,"20-24","Female",30,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,TAB,TAB,TOOLBAR,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",152107,331.54412,283.60825
233,"35-39","Male",34,"START,TAB,TOOLBAR_HISTORY_BACK,TAB,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",127918,364.17027,387.25182
239,"16-19","Male",25,"START,TEXTLINK,BOX_PRESS,TOOLBAR_HISTORY_BACK,TAB,TAB,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TAB,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",228678,258.79323,243.90005
249,"35-39","Male",39,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,BUTTON,BUTTON,TAB,TAB,TAB,TAB,TAB,TAB,COMBOBOX,TAB,TAB,TAB,TAB,COMBOBOX,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",329755,268.67822,256.80507
251,"20-24","Female",12,"START,TAB,TAB,BOX_PRESS,TAB,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_ADD,BOX_PRESS,TOOLBAR_HISTORY_BACK,NEXT_INQUIRY,TEXTBOX_USE,END","7",134009,260.23437,276.89603
257,"16-19","Female",19,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",133961,255.37545,211.18473
258,"20-24","Female",3,"START,NEXT_INQUIRY,END","7",19293,196.21823,225.93703
260,"55-59","Female",21,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",190210,289.56522,304.68254
261,"20-24","Female",23,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END_CANCEL,NEXT_INQUIRY,END","1",210570,277.77309,260.21623
264,"60-65","Female",13,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_NEXT,TOOLBAR_HISTORY_BACK,NEXT_INQUIRY,END","7",260796,242.08398,252.02185
269,"16-19","Female",29,"START,COMBOBOX,COMBOBOX,BUTTON,TOOLBAR,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,TAB,TAB,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",191634,263.13085,264.3729
274,"55-59","Female",3,"START,NEXT_INQUIRY,END","7",7066,217.23252,203.99014
278,"35-39","Female",12,"START,COMBOBOX,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",120994,212.98386,181.82004
283,"30-34","Female",20,"START,TEXTLINK,TOOLBAR_HISTORY_BACK,COMBOBOX,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",207869,241.14575,204.59486
284,"40-44","Female",30,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,TAB,TEXTBOX_USE,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",223251,255.67068,239.55608
292,"35-39","Female",25,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,TAB,TAB,BUTTON,BUTTON,NEXT_INQUIRY,END","1",189409,315.98003,336.90057
294,"20-24","Female",29,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,BUTTON,TAB,TAB,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,BUTTON,BUTTON,BUTTON,NEXT_INQUIRY,END","7",161726,314.18359,287.81112
303,"40-44","Female",16,"START,COMBOBOX,COMBOBOX,BUTTON,TOOLBAR,CHECKBOX,BUTTON,BUTTON,COMBOBOX,COMBOBOX,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",252300,236.46868,242.26815
305,"25-29","Male",32,"START,TAB,TAB,TEXTLINK,COMBOBOX,TEXTLINK,TOOLBAR_HISTORY_BACK,TEXTLINK,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,TAB,TAB,TAB,TAB,TAB,TAB,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",201487,316.48095,313.6431
306,"50-54","Female",22,"START,COMBOBOX,COMBOBOX,BUTTON,TOOLBAR_HISTORY_BACK,TAB,TOOLBAR_HISTORY_BACK,TOOLBAR_HISTORY_BACK,TAB,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",264230,294.86231,268.0144
308,"40-44","Male",16,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",182793,234.89868,214.28016
310,"50-54","Female",5,"START,COMBOBOX,COMBOBOX,NEXT_INQUIRY,END","7",49929,232.21401,239.23696
311,"50-54","Male",19,"START,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,TOOLBAR_HISTORY_BACK,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",226846,345.92945,293.90994
312,"30-34","Female",21,"START,COMBOBOX,COMBOBOX,TAB,TAB,BUTTON,TAB,TAB,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",231410,264.52081,255.55107
317,"20-24","Female",39,"START,TOOLBAR,TOOLBAR,TOOLBAR,TOOLBAR,TEXTLINK,TAB,TAB,TEXTLINK,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,TAB,TAB,TAB,TAB,COMBOBOX,TAB,TAB,TAB,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",267890,327.6222,297.16815
322,"35-39","Male",25,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",154932,271.53485,285.11864
323,"60-65","Female",17,"START,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",273244,184.03202,176.77548
327,"16-19","Male",7,"START,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",64118,181.59486,188.24934
328,"30-34","Male",37,"START,TEXTLINK,COMBOBOX,COMBOBOX,BUTTON,TAB,TAB,TOOLBAR,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,TAB,CHECKBOX,TAB,TAB,CHECKBOX,TAB,TAB,TAB,TAB,CHECKBOX,CHECKBOX,TAB,TAB,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",406913,301.15601,304.32424
334,"50-54","Male",20,"START,COMBOBOX,BUTTON,BUTTON,COMBOBOX,BUTTON,BUTTON,TAB,TAB,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","1",340578,318.66645,313.98071
335,"40-44","Female",21,"START,TAB,TAB,COMBOBOX,COMBOBOX,BUTTON,CHECKBOX,CHECKBOX,CHECKBOX,CHECKBOX,BUTTON,COMBOBOX,BUTTON,BUTTON,BUTTON,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",244675,324.66615,297.14123
338,"30-34","Male",7,"START,COMBOBOX,COMBOBOX,BUTTON,BUTTON,NEXT_INQUIRY,END","7",102062,225.78188,197.34828
